"Service","Controller","Business Logic","Middleware","Authentication","Status","Completion %"
"Auth","auth.js","Register/login/reset/me/logout","authMiddleware.js","JWT","In Progress","75"
"Movies","movieRoutes.js","Movie CRUD, reviews","requireAuth, requireRole","JWT role checks","In Progress","70"
"Bookings","bookingRoutes.js","Movie/flight booking, cancel, QR token","requireAuth","JWT","In Progress","65"
"Flights","flightRoutes.js, flightController.js","Search, CRUD, booking","requireAuth, requireRole","JWT","In Progress","60"
"Seats","seatRoutes.js, movieSeatService.js","Seat init/block/unblock/book, socket emit","requireAuth, requireRole","JWT","Mostly Complete","85"
"Vendor listings","vendorListingRoutes.js, vendorListingController.js","Vendor CRUD, reports, payment details","requireAuth implicit in controller","JWT","In Progress","65"
"Vendor operations","vendorOperationsRoutes.js, vendorOperationsController.js","QR scanner, theatres, screens, shows, pricing, refunds, payouts, staff","async wrapper","JWT expected","In Progress","75"
"Wallet","walletRoutes.js","Balance/add money","requireAuth","JWT","In Progress","60"
"Admin","adminRoutes.js","Stats, users, vendors, bookings","Not fully hardened","Needs role hardening","Early","35"
"Payments","paymentRoutes.js","Mock order and verify","requireAuth","JWT","Early","40"
"Socket","socket.js/server.js","joinShow, joinVendor, emit updates","N/A","Room-based","Mostly Complete","80"
