"Feature","Frontend","Backend","Database","API","Testing","Deployment","Overall Status","Completion %"
"Auth and roles","In Progress","In Progress","In Progress","In Progress","Pending","Pending","In Progress","70"
"User dashboard shell","In Progress","In Progress","N/A","In Progress","Pending","Pending","In Progress","70"
"Movie discovery","In Progress","In Progress","In Progress","In Progress","Pending","Pending","In Progress","70"
"Movie booking/payment","In Progress","In Progress","In Progress","In Progress","Pending","Pending","In Progress","60"
"QR ticketing/scanner","Mostly Complete","Mostly Complete","Mostly Complete","Mostly Complete","Pending","Pending","Mostly Complete","85"
"Live movie seats","Mostly Complete","Mostly Complete","Mostly Complete","Mostly Complete","Pending","Pending","Mostly Complete","85"
"Flight search/details","In Progress","In Progress","In Progress","In Progress","Pending","Pending","In Progress","65"
"Flight booking/payment","In Progress","In Progress","In Progress","In Progress","Pending","Pending","In Progress","55"
"Wallet","In Progress","In Progress","In Progress","In Progress","Pending","Pending","In Progress","60"
"Vendor movie operations","In Progress","In Progress","In Progress","In Progress","Pending","Pending","In Progress","75"
"Vendor flight operations","In Progress","In Progress","In Progress","In Progress","Pending","Pending","In Progress","60"
"Admin dashboard","Early","Early","In Progress","Early","Pending","Pending","Early","35"
"Other vendor listings","Early","Early","Early","Early","Pending","Pending","Early","30"
"DevOps/release","Pending","Pending","Pending","Pending","Pending","Pending","Pending","15"
