"API Name","Endpoint","Method","Integrated","Testing Status","Completion %"
"Health","/api/health","GET","Yes","Smoke pending","80"
"Login","/api/auth/login","POST","Yes","Manual pending","75"
"Register","/api/auth/register","POST","Yes","Manual pending","75"
"Current User","/api/auth/me","GET","Partial","Pending","65"
"Movies","/api/movies","GET","Yes","Pending","75"
"Movie Detail","/api/movies/:id","GET","Yes","Pending","75"
"Movie Review","/api/movies/:id/reviews","POST","Partial","Pending","60"
"Add Movie","/api/add-movie, /api/vendor/movies","POST","Yes","Pending","70"
"Seats","/api/seats/:showId","GET","Yes","Pending","85"
"Block Seat","/api/seats/block","PATCH","Yes","Pending","85"
"Unblock Seat","/api/seats/unblock","PATCH","Yes","Pending","85"
"Movie Booking","/api/bookings/movie","POST","Yes","Pending","70"
"Flight Booking","/api/bookings/flight","POST","Yes","Pending","60"
"My Bookings","/api/bookings","GET","Yes","Pending","70"
"Cancel Booking","/api/bookings/:id/cancel","PATCH","Yes","Pending","60"
"Flights","/api/flights","GET","Yes","Pending","70"
"Flight Detail","/api/flights/:id","GET","Yes","Pending","70"
"Flight CRUD","/api/vendor/flights","GET/POST/PUT/DELETE","Yes","Pending","60"
"Wallet","/api/wallet","GET","Yes","Pending","60"
"Add Money","/api/wallet/add-money","POST","Yes","Pending","60"
"Payment Order","/api/payments/create-order","POST","Yes","Pending","45"
"Payment Verify","/api/payments/verify","POST","Yes","Pending","45"
"QR Verify","/api/vendor/qr/verify","GET/POST","Yes","Pending","85"
"QR Check-in","/api/vendor/qr/check-in","POST","Yes","Pending","85"
"Ticket Scans","/api/vendor/ticket-scans","GET/POST","Yes","Pending","85"
"Vendor Dashboard","/api/vendor/dashboard-stats","GET","Yes","Pending","65"
"Vendor Payment Details","/api/vendor/payment-details","GET/POST/PUT","Yes","Pending","65"
"Admin Stats","/api/admin/stats","GET","Yes","Pending","35"
