"Project Name","Owner","Date","Day","Work Time","Planned Hours","Actual Hours","Sprint","Main Work","Frontend Work","Backend/API Work","Database Work","Testing/Output","Daily Work Update","Completion %","Current Status","Blockers","Next Day Plan","Health Status","Final Submission Date","Expected Output"
"TixHub Booking Platform","Product/Engineering","2026-06-23","Tuesday","10:00-18:00","8","","Sprint 1 - Stabilization","Project baseline and tracker setup","Route/page inventory","API inventory","DB inventory","Management pack baseline","","100","Done","","","Green","2026-09-18","Management pack baseline"
"TixHub Booking Platform","Product/Engineering","2026-06-24","Wednesday","10:00-18:00","8","","Sprint 1 - Stabilization","Movie seat and QR stabilization","MyBookings QR review","QR scan/check-in review","qr_scans validation","Scanner fallback checklist","","100","Done/In progress","","","Green","2026-09-18","Scanner fallback checklist"
"TixHub Booking Platform","Product/Engineering","2026-06-25","Thursday","10:00-18:00","8","","Sprint 1 - Stabilization","Vendor dashboard improvements","Vendor dashboard, movie dashboard, seat UI","Vendor APIs, block seats","blocked_seat_type, screen_type","Build + smoke checks","","60","In progress","","","Yellow","2026-09-18","Build + smoke checks"
"TixHub Booking Platform","Product/Engineering","2026-06-26","Friday","10:00-18:00","8","","Sprint 1 - Stabilization","Movie booking payment consistency","Payment success/failure states","booking/payment handlers","payment_status alignment","Movie booking smoke test","","0","Planned","","","Yellow","2026-09-18","Movie booking smoke test"
"TixHub Booking Platform","Product/Engineering","2026-06-27","Saturday","10:00-15:00","5","","Sprint 1 - Stabilization","Movie flow bug fixing","Seat/payment edge cases","Booking conflict handling","Seat source verification","Multi-session seat test","","0","Planned","","","Yellow","2026-09-18","Multi-session seat test"
"TixHub Booking Platform","Product/Engineering","2026-06-29","Monday","10:00-18:00","8","","Sprint 1 - Stabilization","Vendor movie CRUD hardening","Add/Edit movie validation","Movie create/update APIs","movies table fields","CRUD checklist","","0","Planned","","","Yellow","2026-09-18","CRUD checklist"
"TixHub Booking Platform","Product/Engineering","2026-06-30","Tuesday","10:00-18:00","8","","Sprint 1 - Stabilization","Theatre and screen management","Theatre/screen UI split","Theatre/screen controllers","theatres, screens","Create/update smoke","","0","Planned","","","Yellow","2026-09-18","Create/update smoke"
"TixHub Booking Platform","Product/Engineering","2026-07-01","Wednesday","10:00-18:00","8","","Sprint 1 - Stabilization","Show management and pricing","Show form UX","Shows/pricing APIs","shows, movie_pricing","Show CRUD test","","0","Planned","","","Yellow","2026-09-18","Show CRUD test"
"TixHub Booking Platform","Product/Engineering","2026-07-02","Thursday","10:00-18:00","8","","Sprint 1 - Stabilization","Vendor booking operations","Booking table/drawer polish","Vendor bookings API","bookings indexes review","Booking status checks","","0","Planned","","","Yellow","2026-09-18","Booking status checks"
"TixHub Booking Platform","Product/Engineering","2026-07-03","Friday","10:00-18:00","8","","Sprint 1 - Stabilization","Refunds, payouts, staff modules","Vendor module polish","Refund/payout/staff APIs","refunds, payouts, vendor_staff","Module smoke test","","0","Planned","","","Yellow","2026-09-18","Module smoke test"
"TixHub Booking Platform","Product/Engineering","2026-07-04","Saturday","10:00-15:00","5","","Sprint 1 - Stabilization","Sprint 1 regression","UI cleanup","API fixes","Schema checks","Sprint 1 report","","0","Planned","","","Yellow","2026-09-18","Sprint 1 report"
"TixHub Booking Platform","Product/Engineering","2026-07-06","Monday","10:00-18:00","8","","Sprint 2 - Core Booking Expansion","Flight discovery stabilization","Flight list/detail fixes","Flight API mapping","flights review","Search/detail test","","0","Planned","","","Yellow","2026-09-18","Search/detail test"
"TixHub Booking Platform","Product/Engineering","2026-07-07","Tuesday","10:00-18:00","8","","Sprint 2 - Core Booking Expansion","Flight traveller flow","Passenger form UX","Booking payload handling","flight_bookings","Passenger validation","","0","Planned","","","Yellow","2026-09-18","Passenger validation"
"TixHub Booking Platform","Product/Engineering","2026-07-08","Wednesday","10:00-18:00","8","","Sprint 2 - Core Booking Expansion","Flight seat layout","Aircraft seat UI","Flight seat APIs","flight seat JSON","Seat select/block tests","","0","Planned","","","Yellow","2026-09-18","Seat select/block tests"
"TixHub Booking Platform","Product/Engineering","2026-07-09","Thursday","10:00-18:00","8","","Sprint 2 - Core Booking Expansion","Flight payment and confirmation","Review/payment pages","Booking + PNR APIs","bookings, flight_bookings","Payment smoke","","0","Planned","","","Yellow","2026-09-18","Payment smoke"
"TixHub Booking Platform","Product/Engineering","2026-07-10","Friday","10:00-18:00","8","","Sprint 2 - Core Booking Expansion","Vendor flight dashboard","FlightModule polish","Vendor flight stats","flights","Vendor flight smoke","","0","Planned","","","Yellow","2026-09-18","Vendor flight smoke"
"TixHub Booking Platform","Product/Engineering","2026-07-11","Saturday","10:00-15:00","5","","Sprint 2 - Core Booking Expansion","Flight bug fixing","Responsive fixes","API bug fixes","Data corrections","Sprint 2 mid check","","0","Planned","","","Yellow","2026-09-18","Sprint 2 mid check"
"TixHub Booking Platform","Product/Engineering","2026-07-13","Monday","10:00-18:00","8","","Sprint 2 - Core Booking Expansion","Wallet stabilization","Wallet UX states","Wallet APIs","wallet_transactions","Add/cancel checks","","0","Planned","","","Yellow","2026-09-18","Add/cancel checks"
"TixHub Booking Platform","Product/Engineering","2026-07-14","Tuesday","10:00-18:00","8","","Sprint 2 - Core Booking Expansion","User booking history","MyBookings polish","my-bookings/cancel APIs","bookings/refunds","Cancel/refund tests","","0","Planned","","","Yellow","2026-09-18","Cancel/refund tests"
"TixHub Booking Platform","Product/Engineering","2026-07-15","Wednesday","10:00-18:00","8","","Sprint 2 - Core Booking Expansion","Cross-module booking consistency","Shared status UI","Status normalization","bookings statuses","Movie/flight comparison","","0","Planned","","","Yellow","2026-09-18","Movie/flight comparison"
"TixHub Booking Platform","Product/Engineering","2026-07-16","Thursday","10:00-18:00","8","","Sprint 2 - Core Booking Expansion","Vendor settlements","Settlement UI","Payment detail APIs","payment_details","Settlement smoke","","0","Planned","","","Yellow","2026-09-18","Settlement smoke"
"TixHub Booking Platform","Product/Engineering","2026-07-17","Friday","10:00-18:00","8","","Sprint 2 - Core Booking Expansion","Sprint 2 regression","UI bug fixes","Backend bug fixes","DB cleanup","Sprint report","","0","Planned","","","Yellow","2026-09-18","Sprint report"
"TixHub Booking Platform","Product/Engineering","2026-07-18","Saturday","10:00-15:00","5","","Sprint 2 - Core Booking Expansion","Buffer and backlog","Small UI fixes","Small API fixes","N/A","Build check","","0","Planned","","","Yellow","2026-09-18","Build check"
"TixHub Booking Platform","Product/Engineering","2026-07-20","Monday","10:00-18:00","8","","Sprint 3 - Admin and Multi-Service Vendor","Admin dashboard expansion","Admin UI improvements","Admin users/vendors APIs","users, bookings","Role smoke","","0","Planned","","","Yellow","2026-09-18","Role smoke"
"TixHub Booking Platform","Product/Engineering","2026-07-21","Tuesday","10:00-18:00","8","","Sprint 3 - Admin and Multi-Service Vendor","Admin booking control","Admin booking table","Booking status API","bookings","Admin booking tests","","0","Planned","","","Yellow","2026-09-18","Admin booking tests"
"TixHub Booking Platform","Product/Engineering","2026-07-22","Wednesday","10:00-18:00","8","","Sprint 3 - Admin and Multi-Service Vendor","Admin vendor approval","Vendor approval UI","Vendor status APIs","users","Vendor status test","","0","Planned","","","Yellow","2026-09-18","Vendor status test"
"TixHub Booking Platform","Product/Engineering","2026-07-23","Thursday","10:00-18:00","8","","Sprint 3 - Admin and Multi-Service Vendor","Hotel vendor module","Hotel form/list polish","Vendor listings API","vendor_listings","Hotel create smoke","","0","Planned","","","Yellow","2026-09-18","Hotel create smoke"
"TixHub Booking Platform","Product/Engineering","2026-07-24","Friday","10:00-18:00","8","","Sprint 3 - Admin and Multi-Service Vendor","Bus vendor module","Bus form/list polish","Vendor listings API","vendor_listings","Bus create smoke","","0","Planned","","","Yellow","2026-09-18","Bus create smoke"
