"Page","Module","Components","Framework","Status","Completion %"
"/","Auth","Login.jsx","React 19, React Router","In Progress","75"
"/register","Auth","Register.jsx","React 19","In Progress","75"
"/dashboard","Dashboard","DashboardLayout.jsx, Dashboard.jsx, Sidebar/Header","React Router","In Progress","70"
"/dashboard/movies","Movies","MovieContent.jsx, MoviesContent.jsx","React, axios","In Progress","70"
"/dashboard/movies/:id","Movies","MovieDetails.jsx, TheatreShows.jsx","React, axios","In Progress","70"
"/dashboard/movies/:id/seats","Movie seats","SeatSelection.jsx","React, Socket.IO client","Mostly Complete","85"
"/dashboard/movies/:id/payment","Movie payment","MoviePayment.jsx","React fetch","In Progress","60"
"/dashboard/flights","Flights","FlightContent.jsx","React, axios","In Progress","65"
"/dashboard/flights/:id/*","Flight booking","FlightDetails, TravellerSelection, SeatSelection, Review, Payment","React","In Progress","60"
"/dashboard/my-bookings","Bookings","MyBookings.jsx","React, qrcode.react, jsQR","Mostly Complete","85"
"/dashboard/wallet","Wallet","TixWallet.jsx","React","In Progress","60"
"/vendor-dashboard","Vendor","VendorDashboard.jsx","React, axios, Socket.IO","In Progress","75"
"/add-movie","Vendor movie","AddMovie.jsx","React, axios","In Progress","70"
"/add-flight","Vendor flight","AddFlight.jsx, FlightModule.jsx","React, axios","In Progress","60"
"/add-hotel, /add-event, /add-bus, /add-travel-package","Vendor listings","AddHotel, AddEvent, AddBus, AddTravelPackage","React","Early","30"
"/admin-dashboard","Admin","AdminDashboard.jsx","React","Early","35"
