"Date","Day","Work Time","Sprint","Main Work","Frontend","Backend/API","Database","Testing/Output","Status Target"
"2026-06-23","Tuesday","10:00-18:00","Sprint 1 - Stabilization","Project baseline and tracker setup","Route/page inventory","API inventory","DB inventory","Management pack baseline","Done"
"2026-06-24","Wednesday","10:00-18:00","Sprint 1 - Stabilization","Movie seat and QR stabilization","MyBookings QR review","QR scan/check-in review","qr_scans validation","Scanner fallback checklist","Done/In progress"
"2026-06-25","Thursday","10:00-18:00","Sprint 1 - Stabilization","Vendor dashboard improvements","Vendor dashboard, movie dashboard, seat UI","Vendor APIs, block seats","blocked_seat_type, screen_type","Build + smoke checks","In progress"
"2026-06-26","Friday","10:00-18:00","Sprint 1 - Stabilization","Movie booking payment consistency","Payment success/failure states","booking/payment handlers","payment_status alignment","Movie booking smoke test","Planned"
"2026-06-27","Saturday","10:00-15:00","Sprint 1 - Stabilization","Movie flow bug fixing","Seat/payment edge cases","Booking conflict handling","Seat source verification","Multi-session seat test","Planned"
"2026-06-29","Monday","10:00-18:00","Sprint 1 - Stabilization","Vendor movie CRUD hardening","Add/Edit movie validation","Movie create/update APIs","movies table fields","CRUD checklist","Planned"
"2026-06-30","Tuesday","10:00-18:00","Sprint 1 - Stabilization","Theatre and screen management","Theatre/screen UI split","Theatre/screen controllers","theatres, screens","Create/update smoke","Planned"
"2026-07-01","Wednesday","10:00-18:00","Sprint 1 - Stabilization","Show management and pricing","Show form UX","Shows/pricing APIs","shows, movie_pricing","Show CRUD test","Planned"
"2026-07-02","Thursday","10:00-18:00","Sprint 1 - Stabilization","Vendor booking operations","Booking table/drawer polish","Vendor bookings API","bookings indexes review","Booking status checks","Planned"
"2026-07-03","Friday","10:00-18:00","Sprint 1 - Stabilization","Refunds, payouts, staff modules","Vendor module polish","Refund/payout/staff APIs","refunds, payouts, vendor_staff","Module smoke test","Planned"
"2026-07-04","Saturday","10:00-15:00","Sprint 1 - Stabilization","Sprint 1 regression","UI cleanup","API fixes","Schema checks","Sprint 1 report","Planned"
"2026-07-06","Monday","10:00-18:00","Sprint 2 - Core Booking Expansion","Flight discovery stabilization","Flight list/detail fixes","Flight API mapping","flights review","Search/detail test","Planned"
"2026-07-07","Tuesday","10:00-18:00","Sprint 2 - Core Booking Expansion","Flight traveller flow","Passenger form UX","Booking payload handling","flight_bookings","Passenger validation","Planned"
"2026-07-08","Wednesday","10:00-18:00","Sprint 2 - Core Booking Expansion","Flight seat layout","Aircraft seat UI","Flight seat APIs","flight seat JSON","Seat select/block tests","Planned"
"2026-07-09","Thursday","10:00-18:00","Sprint 2 - Core Booking Expansion","Flight payment and confirmation","Review/payment pages","Booking + PNR APIs","bookings, flight_bookings","Payment smoke","Planned"
"2026-07-10","Friday","10:00-18:00","Sprint 2 - Core Booking Expansion","Vendor flight dashboard","FlightModule polish","Vendor flight stats","flights","Vendor flight smoke","Planned"
"2026-07-11","Saturday","10:00-15:00","Sprint 2 - Core Booking Expansion","Flight bug fixing","Responsive fixes","API bug fixes","Data corrections","Sprint 2 mid check","Planned"
