"Task ID","Today's Tasks","Tomorrow Tasks","Day After Tomorrow Tasks","Estimated Hours","Priority","Dependencies","Status"
"TH-001","Finalize management baseline","Update after completed code work","Update sprint progress","4","High","None","Done"
"TH-019","Update management pack with timeline buckets","Use updated tracker for tomorrow planning","Carry forward progress without reset","2","High","TH-001","Done"
"TH-002","Audit movie listing/detail data gaps","Patch fallbacks and route issues","Regression test movie browse","6","High","TH-001","In Progress"
"TH-003","Verify live seat sync assumptions","Multi-session user/vendor test","Fix any seat conflict bugs","5","High","TH-002","In Progress"
"TH-004","Review movie payment status rules","Patch payment/booking status consistency","Confirm QR only for success+confirmed","6","High","TH-003","Pending"
"TH-006","Prepare flight search test cases","Start flight data cleanup","Flight details smoke","5","High","TH-001","Pending"
"NW-20260626","2026-06-26 - Movie booking payment consistency","Movie booking smoke test","Update daily work status and carry blockers forward","8","High","Sprint 1 roadmap tasks","Planned"
"NW-20260627","2026-06-27 - Movie flow bug fixing","Multi-session seat test","Update daily work status and carry blockers forward","5","High","Sprint 1 roadmap tasks","Planned"
"NW-20260629","2026-06-29 - Vendor movie CRUD hardening","CRUD checklist","Update daily work status and carry blockers forward","8","High","Sprint 1 roadmap tasks","Planned"
"NW-20260630","2026-06-30 - Theatre and screen management","Create/update smoke","Update daily work status and carry blockers forward","8","High","Sprint 1 roadmap tasks","Planned"
"NW-20260701","2026-07-01 - Show management and pricing","Show CRUD test","Update daily work status and carry blockers forward","8","High","Sprint 1 roadmap tasks","Planned"
"NW-20260702","2026-07-02 - Vendor booking operations","Booking status checks","Update daily work status and carry blockers forward","8","High","Sprint 1 roadmap tasks","Planned"
"NW-20260703","2026-07-03 - Refunds, payouts, staff modules","Module smoke test","Update daily work status and carry blockers forward","8","High","Sprint 1 roadmap tasks","Planned"
"NW-20260704","2026-07-04 - Sprint 1 regression","Sprint 1 report","Update daily work status and carry blockers forward","5","High","Sprint 1 roadmap tasks","Planned"
