"Table","Relationships","Indexes","Migration","Seed Data","Completion %"
"users","bookings.user_id, vendor ownership","email unique","db.js auto-create","Not formalized","75"
"movies","vendor_id, shows, bookings, reviews","vendor_id, status","db.js auto-create","migrated from app_records","75"
"flights","vendor_id, flight_bookings","vendor_id, status, route","db.js auto-create","static fallback + DB","70"
"bookings","user_id, vendor_id, movie_id, show_id, flight_id","user_id, vendor_id, module, qr_token","db.js + migration","Runtime","70"
"flight_bookings","booking_id, flight_id, user_id","user_id, flight_id","db.js auto-create","Runtime","60"
"movie_seats","show_id, movie_id, booking_id","show_id, movie_id, status","db.js auto-create","generated","85"
"seats","show_id, movie_id, theatre_id, screen_id","show_id, status","db.js + migration","generated","80"
"theatres","vendor_id","vendor_id","db.js + migration","Runtime","70"
"screens","theatre_id, vendor_id","theatre_id, vendor_id","db.js + migration","Runtime","70"
"shows","movie_id, theatre_id, screen_id, vendor_id","movie_id, vendor_id","db.js + migration","Runtime","70"
"qr_scans","booking_id, vendor_id","booking_id, vendor_id, qr_token","db.js + migration","Runtime","85"
"movie_pricing","vendor_id, movie_id, show_id","vendor_id, show_id","db.js + migration","Runtime","70"
"refunds","booking_id, user_id, vendor_id","booking_id, vendor_id","db.js + migration","Runtime","55"
"payouts","vendor_id","vendor_id","db.js + migration","Runtime","55"
"vendor_staff","vendor_id","vendor_id","db.js + migration","Runtime","60"
"notifications","vendor_id","vendor_id","db.js + migration","Runtime","60"
"movie_reviews","movie_id, booking_id, user_id, vendor_id","movie_id, vendor_id","db.js + migration","Runtime","65"
"movie_status_logs","movie_id, vendor_id","movie_id","db.js + migration","Runtime","60"
"app_records","legacy model store","model","db.js auto-create","Existing","50"
